n_keys,n_prompts,fp_mean,uniform_mean,fp_first_ok,uniform_first_ok,fp_500_519,uniform_500_519,uniform_first_ok_500_519,fp_520_539,uniform_520_539,uniform_first_ok_520_539,delta_fp_minus_uniform,delta_lo90,delta_hi90,incomplete_capped_fp,gate_fp_ge_095,gate_no_incomplete_capped_fp,gate_uniform_050_075,gate_each_half_035_085,gate_delta_lo_gt_005,eligible,k24_fp_stop,selected
24,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,True,True,False,False,False,False,False,False
32,40,1.0,0.825,1.0,0.825,1.0,0.8,0.8,1.0,0.85,0.85,0.175,0.075,0.275,0,True,True,False,True,True,False,False,False
