model,ctx,layer,head,L,tau,tau_nosink,ladder_bits,ladder_bits_a_only,w_cv,top1,n95,eff_frac,entropy,c1_abs,c1_rel,alpha1,resid1_abs,evict_beats_b1,spearman_top_b1,c2_abs,c2_rel,alpha2,resid2_abs,evict_beats_b2,spearman_top_b2,c3_abs,c3_rel,alpha3,resid3_abs,evict_beats_b3,spearman_top_b3,c4_abs,c4_rel,alpha4,resid4_abs,evict_beats_b4,spearman_top_b4,c5_abs,c5_rel,alpha5,resid5_abs,evict_beats_b5,spearman_top_b5,c6_abs,c6_rel,alpha6,resid6_abs,evict_beats_b6,spearman_top_b6,c8_abs,c8_rel,alpha8,resid8_abs,evict_beats_b8,spearman_top_b8,err_wf1,err_uniform1,err_evict1,gain_u1,gain_e1,gain_best1,in_band1,evict_frac1,mean_bits1,lin_ratio1,err_wf2,err_uniform2,err_evict2,gain_u2,gain_e2,gain_best2,in_band2,evict_frac2,mean_bits2,lin_ratio2,err_wf3,err_uniform3,err_evict3,gain_u3,gain_e3,gain_best3,in_band3,evict_frac3,mean_bits3,lin_ratio3,err_wf4,err_uniform4,err_evict4,gain_u4,gain_e4,gain_best4,in_band4,evict_frac4,mean_bits4,lin_ratio4,prompt,step,synthetic,quantized,norm_correct
llama31-8b,131072,0,0,120604.0,3.521802537442407,3.5208327925501486,5.0356288473214486,5.080887055758328,0.24434541073705293,0.14117846228711145,7772.0,0.06443749035605921,5.519600295102817,4.344916626668269,0.3440822846866975,0.7796709617313822,3.6959117898503395,1.0,0.2979044109843684,1.3252874290202759,0.10122674374210391,0.9320067069227769,1.2486161207954114,1.0,0.5143887502167205,0.39168094431704437,0.028988378785768203,0.9810423032103532,0.3827629896879777,0.0,0.7361240422567157,0.10696988816593028,0.00784394286605061,0.9947725478700702,0.10626027436219619,0.0,0.8805218944340685,0.02793700315242555,0.002051383596519114,0.998563317347176,0.027889640776777434,0.0,0.9589385656182052,0.007091661903317133,0.0005279340196485355,0.9996475961525555,0.007088234105000538,0.0,0.987286496011077,0.00045474398996807883,3.389938278465872e-05,0.9999796609109255,0.0004547277182572607,0.0,0.9990453188024392,0.01129542582969229,0.8402276013317505,0.01641988666490011,77.10534131534205,1.3678428406328358,1.3678428406328358,0.0,0.8296997188751689,1.0000041453526451,1.3094571940719146,0.010401675108989645,0.6451914708935846,0.010375091058607927,78.72125405421937,0.9923067048740416,0.9923067048740416,0.0,0.6857933013243112,2.0,0.6961490601848622,0.011068161704720924,0.31283394353476557,0.010583664547900832,33.31268532698506,0.9913699998409093,0.9913699998409093,0.0,0.556236419854815,3.0000041453870137,0.8812094554642484,0.011144437146465652,0.17906182307895202,0.011061986114845886,18.987409956836313,0.9975153384448949,0.9975153384448949,0.0,0.4312716472467579,4.000008290739658,0.8033576235502669,2.5,3.5,1.0,0.0,1.0
llama31-8b,131072,0,1,120604.0,3.481398892801206,3.480452723037563,4.966912053423543,5.022596918000627,0.2476891888821786,0.15814172491567807,8600.5,0.0713036203498002,5.971223544106507,3.7648109632733258,0.3185289815052931,0.7894385112975896,3.24569011003552,1.0,0.33182383468836707,1.1129069963419038,0.09409067142331712,0.9331531188153264,1.0607599713541358,1.0,0.5462324547560065,0.31875635033864747,0.026999940039700063,0.9802246175123465,0.3138516451491138,0.0,0.7574203349289015,0.08637071821818199,0.007350393689547285,0.9947335696375854,0.08607914930908361,0.0,0.8953529738300583,0.02255814127278843,0.0019223720447605645,0.9986041198830653,0.02254158868172195,0.0,0.9658241843137974,0.005784504224094695,0.0004920234459774788,0.9996432136266076,0.005783119922997303,0.0,0.989233301806841,0.00037147028700255263,3.141564650060275e-05,0.9999777180928711,0.0003714615892065626,0.0,0.9992021461735038,0.01683316031107402,0.92791385172594,0.02862540957022279,51.97400322550294,1.6858837090585004,1.6858837090585004,0.0,0.8253118723383004,1.0000082912895927,1.9462387978236353,0.010392715466859423,0.401017178208663,0.012892885205313108,42.80942175338072,1.2601101609335816,1.2601101609335816,0.0,0.6796941728653051,2.0,1.283348606648739,0.0075894020155652915,0.27026913665667723,0.009349219842989604,29.52332171418954,1.0330948971690628,1.0330948971690628,0.0,0.5487776406414411,3.000004145352645,0.9951461460830318,0.007475304937489049,0.12438664473267588,0.007919776167177315,12.997187768527823,1.0054048961280868,1.0054048961280868,0.0,0.42491562388569626,4.0,1.1798385989193705,2.5,3.5,1.0,0.0,1.0
llama31-8b,131072,0,2,120604.0,3.9556035219853074,3.9545503834640345,5.654351704326325,5.7067295848911215,0.23259514713298685,0.4507091530157374,2628.5,0.021795195358748312,3.304631255685074,5.01315738036811,0.32989870580516345,0.7693247912604266,4.2384477901556785,1.0,0.2711230379558571,1.507695335068557,0.09763664379171741,0.9273623103567215,1.4275850057337518,1.0,0.47856150428012356,0.4326051237495302,0.02785056035185868,0.9772971195435123,0.42475572462940936,0.0,0.7134064242688352,0.11788583545199527,0.007560317213377332,0.9937601154596678,0.11727986612219254,0.0,0.8721979215843967,0.030594006361310842,0.001959153871733591,0.9983920021575055,0.030556494790192623,0.0,0.9561872985948776,0.007853732076685108,0.0005027649650241888,0.9996022030318363,0.007849412196816365,0.0,0.986772631118815,0.0005025683586537745,3.219496101088127e-05,0.9999776952779743,0.0005025567236482721,0.0,0.999004077732996,0.008810065570156211,0.8830940970976286,0.01297270515753761,94.43085468532678,1.3998633439522998,1.3998633439522998,0.0,0.8372690752909258,1.000008291530202,1.0710942073935779,0.006510579909072608,0.5497536030964421,0.006813002257237933,59.874335347873966,1.013921947924666,1.013921947924666,0.0,0.6972529937715594,2.0,0.9301188319398103,0.006438852103739271,0.43471335400664934,0.0064546566429370365,61.19353427279742,1.0003653689555918,1.0003653689555918,0.0,0.5658518631069231,3.0,0.488740915267762,0.0064373600800269265,0.14201865513677311,0.006437822284660387,21.609840751312205,0.99991650300261,0.99991650300261,0.0,0.4370433946148552,4.00000829070529,0.7053772122764388,2.5,3.5,1.0,0.0,1.0
llama31-8b,131072,0,3,120604.0,2.0727813464946516,2.07205209838358,2.8245725465896703,2.9903913694349824,0.26054457394551445,0.02170419336022717,31218.0,0.25885252085697874,8.96444634743522,1.6774714694301285,0.3754430564310438,0.8028141714457668,1.5286028923733588,1.0,0.4143080367652981,0.50830944628807,0.11278943666129407,0.9401058285611349,0.4939567804133511,0.0,0.6387145838563733,0.1458790965138917,0.032217994075788396,0.9817074564808612,0.14465053294090735,0.0,0.8275270387175871,0.039423507246294245,0.00867852298303615,0.9951211188862826,0.039330178756675334,0.0,0.9354580954287236,0.010280178039347516,0.0022704111248606665,0.9987609797202315,0.010274447353222423,0.0,0.9786851733829657,0.0026301975118173827,0.0005818430056254891,0.9996993949302441,0.0026298462893614323,0.0,0.993757442673347,0.00016873718822183988,3.7338243395833606e-05,0.9999894108323222,0.0001687356041903952,0.0,0.9995380413107948,0.05627640814064808,0.5008541289513186,0.1359246472207855,8.888620147286773,2.4278530590887804,2.4278530590887804,1.0,0.7793416525019692,1.0000082908771346,6.979227967219033,0.021807082296724407,0.1578393492602541,0.05643507356030414,7.263270217204262,2.6008532781777127,2.6008532781777127,1.0,0.6069151361883836,2.0,6.882651837358978,0.008941245879711554,0.0738694143686345,0.029423644383478588,8.055255394909704,3.223322236995383,3.223322236995383,1.0,0.44652792172795486,3.0,3.563276341878346,0.0032417736001641626,0.024723247565568207,0.016111295466354085,7.727154955315289,5.00909826095644,4.991147606176464,1.0,0.29683263546287464,4.0,1.9715925792217792,2.5,3.5,1.0,0.0,1.0
llama31-8b,131072,0,4,120604.0,2.4597928575787122,2.4589781308680694,3.4690406860578804,3.5487309572429,0.6088874999688318,0.05548484786592109,30323.5,0.2514302290691748,8.284291602218977,1.2669168693745996,0.20589066738579503,0.7713222803355964,0.9528482057943661,1.0,0.4751068017641087,0.34592614271741906,0.05547983012203973,0.9269482351016252,0.31126350911650325,0.0,0.6465630361969299,0.09434740206415451,0.014994784606651886,0.9790280432856668,0.09121841237566423,0.0,0.8303910914727459,0.025167619049918162,0.004009866117669262,0.9946970943660032,0.024965024871868684,0.0,0.9358893974557125,0.0065351459770760355,0.0010487783107140415,0.9985603509436216,0.006522235899128757,0.0,0.9796523511922663,0.0016873992905466844,0.00026955049025282994,0.9996599478010473,0.001686714659670627,0.0,0.9939057435066014,0.00010793272601236265,1.7258274248958927e-05,0.999980811441616,0.00010792533100591022,0.0,0.9995595321614262,0.06290579753011687,0.8460289461382693,0.10926720239900825,13.330220468862088,1.8381039046301013,1.8381039046301013,0.0,0.7597666004170908,1.0000041453526451,4.319542240996911,0.013113150770182692,0.3124923565922648,0.05567680370750975,23.753220680744693,4.355947701424288,4.355947701424288,1.0,0.5874227203640674,2.000008291530202,2.071644007651919,0.004494639468864723,0.1277789900341736,0.018884413342370725,28.3090156387857,3.8631467301376055,3.8631467301376055,1.0,0.452538389550333,3.0,1.021307573292387,0.0026648381619229613,0.03627318662253304,0.006292277362188256,12.888910200428896,2.2184874060430397,2.2184874060430397,1.0,0.32499646925733733,4.0,1.1892674564447359,2.5,3.5,1.0,0.0,1.0
llama31-8b,131072,0,5,120604.0,2.045080211174162,2.044387371946617,3.1130683649499966,2.950427078881118,0.5551102890590414,0.02997495135355382,45821.5,0.3798894026938956,9.658502471362205,1.1314783716005399,0.251004296577308,0.7835287445053267,0.8810879925807769,1.0,0.3648317591380777,0.30849322784983924,0.07104321035565697,0.931391710650805,0.28364210882735275,0.0,0.5620991850434756,0.08517120821580001,0.019669219835382598,0.9803782415176383,0.08303470457278558,0.0,0.7744979872962494,0.022795725816448467,0.005293106742438566,0.9948411748882025,0.022649942965280348,0.0,0.9048731973283226,0.005956019450285099,0.0013868545379514372,0.9986262267651334,0.005947281877121206,0.0,0.9674660966208912,0.0015388449765300419,0.0003587025597658255,0.9996858491224196,0.0015381945947187396,0.0,0.9900425610211567,9.83739363971092e-05,2.2905550840550638e-05,0.9999786019936363,9.83709591575251e-05,0.0,0.9993042423867498,0.09267735028379719,0.31242975459143313,0.1630770499302423,2.9636556687379514,1.8105606595097274,1.776604164402221,0.0,0.7444514454844673,1.0000041453526451,7.67256220716167,0.026677021750048907,0.1043079242775785,0.09250754785135855,3.5242166677386315,3.643754046540653,3.2922712827187057,1.0,0.5654572280947672,2.000004145352645,8.571645138065653,0.008991488477845276,0.044143990453532254,0.04215919474340454,5.030284844233814,5.105896498498595,4.677945146325905,1.0,0.42446130286176575,3.0,5.3209772927715715,0.00458134911631612,0.013331045537935928,0.016771747260835163,3.1125248477684355,4.032530766502441,2.6690269685312735,1.0,0.2981755616354482,4.0,4.847922086880271,2.5,3.5,1.0,0.0,1.0
llama31-8b,131072,0,6,120604.0,2.4925406039275786,2.4917635303132597,3.448085443983249,3.5959759685007002,0.5998840221912101,0.05780442640581002,29604.0,0.24545737198944872,8.410348729390257,2.067607445114609,0.24089764165131983,0.7683553311882119,1.6235020851457302,1.0,0.3890225995390552,0.574781833182326,0.06710828394403946,0.9272430779308003,0.5236095982326147,0.0,0.6014316718394709,0.157015281597724,0.018332204242915602,0.9797111230605491,0.15262852187898213,0.0,0.7964091651691148,0.04217885009372649,0.004924575802817449,0.994856226668656,0.04186991735126524,0.0,0.9204953068130252,0.011042711118133368,0.0012892847797478272,0.9986266548222152,0.011020332036912463,0.0,0.9737930512655519,0.002842814765316976,0.0003319094933184313,0.9996653398862121,0.002841277667855053,0.0,0.9919260584250982,0.0001811615709695311,2.1151369608605106e-05,0.9999836759621235,0.00018115746615035653,0.0,0.9994039963273189,0.03329784425576901,0.8100406478117377,0.061568474737870874,13.513580045241753,1.901137125202184,1.901137125202184,0.0,0.7989188482828623,1.0,4.216635995612252,0.013869653031526165,0.2465846477872372,0.02298099183732022,15.823769531731179,2.750949226321528,2.750949226321528,1.0,0.6376289542036155,2.000004145352645,3.093105882758983,0.006107576432437064,0.10659977963413275,0.013468812067729215,18.788836107220902,2.0162243571309073,2.0162243571309073,0.5,0.49819238938167754,3.0,1.5528460282589103,0.003576936753370096,0.043093467274624,0.008563021375614365,13.838312605146925,1.3298606690353398,1.3298606690353398,0.0,0.37110486086597144,4.0,1.0999188615047708,2.5,3.5,1.0,0.0,1.0
llama31-8b,131072,0,7,120604.0,2.7615107318323786,2.7606417834452577,3.94446693285954,3.984017838176225,0.609616231755961,0.08739667501156845,20833.5,0.17272512489835892,7.1093995022934475,1.7733023836425819,0.23750237903031335,0.7424864022936781,1.2875816272350247,1.0,0.43247133163616397,0.4921043021861189,0.06599347190483248,0.9170182504049388,0.43501914005857045,0.0,0.6266045853693365,0.13382038132495788,0.017851458046444856,0.9760920843675095,0.1284307114069741,0.0,0.809514643322997,0.035390911971736244,0.004772889433221973,0.9939124632226795,0.03503313667836518,0.0,0.9266396944381148,0.009183858939138867,0.0012352880950304876,0.9984144627784559,0.009162433923334573,0.0,0.9754838943290456,0.002374259744679737,0.00031918516184812273,0.9996223148905322,0.0023728893995835984,0.0,0.9925726710618357,0.00015175308642832126,2.0385917246422624e-05,0.9999802411499796,0.00015174712031305635,0.0,0.9994415301651522,0.03648769041556669,0.7851576919840083,0.06605356787918323,35.320341681910676,1.790434498866031,1.790434498866031,0.0,0.7856680846829366,1.0000041453526451,2.6797914205854445,0.009810135586648096,0.3422988012393237,0.028086346725696106,40.528228159143794,2.6513658393693498,2.6513658393693498,1.0,0.6242008110057965,2.0,1.3939364503796061,0.004058171747304052,0.15601103883141718,0.010595340201795186,38.44256501673078,2.0678630364458326,2.0678630364458326,1.0,0.4877402614725189,3.0000082912895927,0.7709876682202086,0.0031740787569453964,0.05308741222751621,0.004695422516501617,13.429175082899835,1.223654238371497,1.223654238371497,0.0,0.35974462086978154,4.000008291014613,1.1440480306459007,2.5,3.5,1.0,0.0,1.0
llama31-8b,131072,0,8,120604.0,2.384977615960037,2.3844954676490895,3.5517621258340126,3.440795379176728,0.4173450296273915,0.007557523679273638,39606.0,0.3284202134040187,9.691278201317411,1.0559771303694294,0.18575897772841438,0.7701527333379226,0.7521876107833141,1.0,0.46994351998032713,0.27159989309225535,0.047738659533892655,0.9257584778204982,0.24012534329020052,0.0,0.6871503144944198,0.0726703926575646,0.012773976288325944,0.9787540040586993,0.07030772305172245,0.0,0.8545464318271717,0.019387810780022947,0.003402226704092264,0.9945802366436358,0.019238962567119152,0.0,0.9480783557075992,0.005064559932234648,0.000890665676510688,0.9986261370089426,0.005053884769649564,0.0,0.9833060168155773,0.0013031363490787228,0.00022923936775100224,0.9996424488648499,0.0013021975605826634,0.0,0.995145354609072,8.341122653152782e-05,1.4628894179427121e-05,0.999978962959969,8.340916247569585e-05,0.0,0.9996302132128482,0.04047146479812358,0.20400374650203296,0.11467661810361551,4.998922550081122,2.879788256319496,2.879788256319496,1.0,0.7377562949267492,1.0000082908771346,8.195220612018357,0.01040358572321538,0.08272599057049482,0.04597237874549977,7.886666325864164,4.494728638371123,4.494728638371123,1.0,0.5563556629830173,2.0,5.501453678293578,0.004046739132957895,0.03194761255240769,0.019594057304985108,7.867332022527622,4.7593295534912,4.7593295534912,1.0,0.41707640645081046,3.0000082907052903,3.5429127344380102,0.0017206810160620908,0.013796976875211331,0.008270916788851734,8.249891218538504,4.685266182611436,4.685266182611436,1.0,0.294895129359243,4.0,1.8318904411376677,2.5,3.5,1.0,0.0,1.0
llama31-8b,131072,0,9,120604.0,2.633981006130252,2.6331754413939272,3.929337796509251,3.8000313353398365,0.4229850524599472,0.05173505202327219,22135.0,0.18354595929317027,8.051585471571446,1.63707053992737,0.23965858301734977,0.7686850277306512,1.2612206971910174,1.0,0.41543323302494795,0.4352305433989633,0.0648753695933339,0.9254628639616576,0.3938556164101914,0.0,0.6415742400662431,0.11883294415165557,0.017812117971980693,0.9789058658554268,0.11541817696186749,0.0,0.8400519652645202,0.03163139415018447,0.004762083858214257,0.9945593236740891,0.031413769665794504,0.0,0.938243742287165,0.008343771518738465,0.0012515040777869104,0.9985997709584966,0.008328304642953728,0.0,0.9796999559778449,0.002133555326703685,0.00032186020262363476,0.9996386437624769,0.00213270183849781,0.0,0.9939940330387993,0.0001368949444553191,2.0500287218713494e-05,0.999976906864491,0.00013688523492666032,0.0,0.9995531879862244,0.028845848534030438,0.3750621910880587,0.06480858736919393,13.289116898640529,2.0297631188034817,2.0297631188034817,1.0,0.7816425521329962,1.0000082912552224,8.055726868043504,0.008867497745401525,0.1342784953538005,0.023620762986965867,17.328670540871904,2.802335483659486,2.802335483659486,1.0,0.6085498586698861,2.000008291530202,3.2449015046881913,0.004883107371389616,0.07079914662153512,0.010428141098081774,18.03371202789026,2.338433132247033,2.338433132247033,1.0,0.4632726669706894,3.0,1.6549558492967091,0.003727190335889948,0.04360473617476559,0.00543484827776542,14.572313234638536,1.351798002191448,1.351798002191448,0.0,0.33730774014344345,4.000008291564577,1.0504931475586583,2.5,3.5,1.0,0.0,1.0
