model,ctx,layer,head,L,tau,tau_nosink,ladder_bits,ladder_bits_a_only,w_cv,top1,n95,eff_frac,entropy,c1_abs,c1_rel,alpha1,resid1_abs,evict_beats_b1,spearman_top_b1,c2_abs,c2_rel,alpha2,resid2_abs,evict_beats_b2,spearman_top_b2,c3_abs,c3_rel,alpha3,resid3_abs,evict_beats_b3,spearman_top_b3,c4_abs,c4_rel,alpha4,resid4_abs,evict_beats_b4,spearman_top_b4,c5_abs,c5_rel,alpha5,resid5_abs,evict_beats_b5,spearman_top_b5,c6_abs,c6_rel,alpha6,resid6_abs,evict_beats_b6,spearman_top_b6,c8_abs,c8_rel,alpha8,resid8_abs,evict_beats_b8,spearman_top_b8,err_wf1,err_uniform1,err_evict1,gain_u1,gain_e1,gain_best1,in_band1,evict_frac1,mean_bits1,lin_ratio1,err_wf2,err_uniform2,err_evict2,gain_u2,gain_e2,gain_best2,in_band2,evict_frac2,mean_bits2,lin_ratio2,err_wf3,err_uniform3,err_evict3,gain_u3,gain_e3,gain_best3,in_band3,evict_frac3,mean_bits3,lin_ratio3,err_wf4,err_uniform4,err_evict4,gain_u4,gain_e4,gain_best4,in_band4,evict_frac4,mean_bits4,lin_ratio4,prompt,step,synthetic,quantized,norm_correct,corpus_offset,corpus_spliced,needle_tok
llama33-70b,131072,73,17,120604.0,1.8479280590868732,1.8459891829658135,2.6566906150620877,2.6659966467641993,0.195382880753916,0.3209703142603091,492.0,0.004079558324517612,2.9586235358103083,1.4811957012743164,0.44714098942972014,0.7732731484322439,1.308558099059503,1.0,0.3906583382833561,0.4390188072926666,0.1320299786628854,0.9266179570611359,0.4192331923976421,0.0,0.63574645450611,0.12475026555329669,0.03749721714648689,0.9772113160649794,0.12251363434369966,0.0,0.8211571883057464,0.03358911842470855,0.010112145465600112,0.9936503730662711,0.03342083860978779,0.0,0.9313473178416506,0.008843957183692778,0.0026609987031606546,0.9984779655168254,0.008831742067837187,0.0,0.9775584668659781,0.002261458162004834,0.0006838022271098645,0.9995500273792717,0.0022607334394546827,0.0,0.9935314706688432,0.00014505901524644257,4.3494356725966204e-05,0.9999562525915549,0.00014504993980052393,0.0,0.9995327757763794,0.004664023852168572,0.3020978122714033,0.006638093658444736,51.00487835266991,1.5412626570722785,1.5412626570722785,0.0,0.7670150259714488,1.0000041453870132,2.015581117881545,0.0035553444440053184,0.16090045578409692,0.004609472366231642,44.30633356143766,1.5368832116911402,1.5368832116911402,0.0,0.559848431026131,2.0,1.2385214786864887,0.003084155454501118,0.09328239488882148,0.004107587431837584,31.712607811914268,1.2719542994692876,1.2719542994692876,0.0,0.3867246403491704,3.000008291530202,0.9221264600817043,0.0028777299707298744,0.05394242112707483,0.0033828035247838867,16.04579377281094,1.1163106971548564,1.1163106971548564,0.0,0.24992853006598864,4.0,0.954940827391604,1.5,3.5,0.0,0.0,1.0,439375.0,0.0,-1.0
llama33-70b,131072,73,18,120604.0,1.5284086364271718,1.5275366673172157,2.159689226838749,2.2050275602253437,0.2460860299951829,0.0283845425447673,48931.5,0.4057181283823501,9.197134852691436,0.8164926636512295,0.3597928416209438,0.7776814252726052,0.6989060660558604,0.0,0.34196745664876416,0.241673206996109,0.10637030095951971,0.9162454485436835,0.22326828580622246,0.0,0.5633644921924303,0.06856707670613912,0.029955592060689727,0.9698981249295355,0.06652246066318057,0.0,0.7581958550592385,0.018405313560133536,0.00807188111009887,0.9906765728926323,0.018226589187574596,0.0,0.8952614796642918,0.004840519861360823,0.0021142940178331343,0.9975870489140011,0.004828073604980082,0.0,0.9640015723480719,0.0012286619320888764,0.0005373836702536358,0.9993909763778936,0.0012279508935511755,0.0,0.9898612456356042,7.823846388032478e-05,3.4222421232056857e-05,0.999963310874632,7.823291502689772e-05,0.0,0.9992040289103569,0.05271493485034939,0.17143749729656088,0.09250357295942457,3.17021994356696,1.73500117588602,1.73500117588602,0.0,0.7363871534446227,1.0000041453526451,19.667981199719787,0.019276439406251733,0.11455213745821216,0.05663693759249951,5.741211983780582,2.922675731287187,2.922675731287187,1.0,0.4825328657340996,2.0,8.111781992614029,0.0060259440989086106,0.06186928359355784,0.03508296929410654,9.815600761454046,5.793191800675119,5.637549051051712,1.0,0.2725666230349393,3.0,2.9151750899136957,0.0015640189240372663,0.021783504335684198,0.02157290817272042,13.7625084888609,13.760887365586022,11.067181987524345,1.0,0.12400280734486697,4.000004145352645,1.08149746231982,1.5,3.5,0.0,0.0,1.0,439375.0,0.0,-1.0
llama33-70b,131072,73,19,120604.0,1.588016102339099,1.5862447450558368,2.2623602326970706,2.2910229556964383,0.2174091425336348,0.18290650063841962,13078.0,0.10845195125939514,5.719162803598639,0.9116862203049277,0.36399364103637905,0.7959346284992054,0.8036447676212968,0.0,0.3983494959125835,0.27516424393804984,0.10955174533282608,0.9287226597905062,0.2620424305382163,0.0,0.6235530260937655,0.08023637440394224,0.03139125071253196,0.9731878401433935,0.07817457236319249,0.0,0.8013836560664074,0.021769805296356748,0.008583378391426038,0.9917960443663806,0.021545893283752386,0.0,0.9176036985656857,0.005672744389247639,0.0022534327762444894,0.9977495938502889,0.005655424398254201,0.0,0.9739778454600525,0.001448897692037827,0.0005745536724127824,0.9994603354419419,0.0014482947082534471,0.0,0.992247845400362,9.273754103185444e-05,3.643476838551236e-05,0.9999557501207124,9.273445721486509e-05,0.0,0.9994665552626846,0.01716722167731545,0.2715426359622884,0.02955947477211401,15.952290589889355,1.7250019277668636,1.7250019277668636,0.0,0.7467975157319409,1.0,6.2002377190370375,0.0074301271904837745,0.15770212234701408,0.018020955042735588,17.968683467034793,2.495153128659857,2.495153128659857,1.0,0.4950078324770022,2.000004145352645,3.030801846752622,0.003745814783728747,0.09645963986452508,0.011592496763034709,22.614871030960664,3.1329641205177556,3.1329641205177556,1.0,0.2910939311077025,3.0000041453870137,1.2971191834850628,0.0035118506930425833,0.047622382553754075,0.007779060582931791,15.7134248318807,2.165901500954488,2.165901500954488,1.0,0.14672656773971016,4.00000829070529,0.9735801695310193,1.5,3.5,0.0,0.0,1.0,439375.0,0.0,-1.0
llama33-70b,131072,73,20,120604.0,1.120651812554716,1.120074167702529,1.661993863778406,1.6167588125359167,0.25766939058142424,0.005175606998406047,82491.0,0.6839085711149241,10.759233340226134,0.5874204591990029,0.47466763419670366,0.787303851374614,0.5292019739629021,0.0,0.34941794453382036,0.16937886493535295,0.13746798164317828,0.9339288470205256,0.16353583613472444,0.0,0.5920290088197726,0.04787047822695963,0.03880421480142064,0.9790473218802371,0.04731664358712842,0.0,0.7975339109900723,0.012867949683786085,0.01059429432475453,0.9938281433568419,0.012811645128809357,0.0,0.9257221303576073,0.003400702036026131,0.0027672365506648993,0.9984926446942451,0.003395455655380103,0.0,0.9750443655036447,0.0008705819220230134,0.0007151586991564875,0.9995896408643131,0.0008703947613527542,0.0,0.9926460031230263,5.5536272975731895e-05,4.5441469758522806e-05,0.9999840338088446,5.553609978155211e-05,0.0,0.9994749061338084,0.10181899079255607,0.08215814011303933,0.27530823179464126,0.8414626136646539,2.674778738827161,0.8414626136646539,0.0,0.6568841330334454,1.0000082907740266,13.380606687153204,0.02719106308431134,0.048849205945555106,0.1557969110259334,1.8786436683009118,5.713940085561273,1.8786436683009118,0.0,0.3777682279747777,2.0000082907396584,6.796057423048021,0.005285999645185549,0.01996918042514768,0.0958946339562636,4.196500703196505,18.975812859224476,4.196500703196505,1.0,0.17586401523921844,3.0000082907396584,3.092769703873693,0.0014205015677257139,0.00763984290509278,0.05824006964758313,5.198953501860201,41.257844009042756,5.198953501860201,1.0,0.06345807822748734,4.0,1.6583537316410528,1.5,3.5,0.0,0.0,1.0,439375.0,0.0,-1.0
llama33-70b,131072,73,21,120604.0,1.3621574958030735,1.3615372914738448,1.965935126299934,1.9651778641048234,0.2547142447238532,0.0038158115205979824,62254.5,0.5162449922395729,9.914175263296183,0.6573453759680412,0.32700405562244306,0.7964783501105501,0.5763617556434133,0.0,0.3184619428776976,0.1928345042299089,0.0964630134603689,0.9313233190788222,0.18395307472433775,0.0,0.5854330468070665,0.05531152604023831,0.027506758535022074,0.9776613480932146,0.054314278294469595,0.0,0.8040334646871086,0.014983124838189027,0.007507145269066569,0.9932518635520453,0.014896891578724614,0.0,0.9264786738150889,0.003959620927917509,0.001973765077782946,0.9983166598940074,0.0039533023871781816,0.0,0.9757930482895796,0.0010192390275765818,0.0005070668317680207,0.9995410394331434,0.0010191523588955922,0.0,0.9929776705375581,6.524043592536101e-05,3.231352053076957e-05,0.9999739760845878,6.523955286577709e-05,0.0,0.9994916622571277,0.0721698204109909,0.09611910764282777,0.1339002305143689,1.3947896539517928,1.8563594848312928,1.3947896539517928,0.0,0.709357830535139,1.000008291530202,15.90398234168756,0.02340693210588047,0.043770711411713556,0.08481565726136711,1.8352549653545855,3.6235410075760526,1.8352549653545855,0.0,0.440386564039032,2.0,12.429517386580827,0.005679704712681861,0.02057302074954017,0.054192642837470745,3.5735553933348263,9.256133399099317,3.5735553933348263,1.0,0.22938634466632896,3.0,6.2466042816672385,0.0006283991142963848,0.007050368572724291,0.03357768438921745,11.617131118116198,51.12964567818367,11.617131118116198,1.0,0.09477252268417939,4.0,1.17575121068401,1.5,3.5,0.0,0.0,1.0,439375.0,0.0,-1.0
llama33-70b,131072,73,22,120604.0,1.5794169244037473,1.5784541287607463,2.289284349446408,2.2786169643333847,0.24408648518621257,0.04355115982537494,43164.5,0.35789825245516665,8.703163262397442,0.8949428583663157,0.35529910428495926,0.8026073131846914,0.7947387831490662,0.0,0.38654374973123795,0.2601504878547971,0.10356138396856761,0.9412100599563521,0.25049455152096595,0.0,0.6267330322162508,0.07358386628763597,0.029314462030305924,0.9819903803168886,0.07270931027439478,0.0,0.8154513536043293,0.01996570683414446,0.007912256854002873,0.9949509162511692,0.019915528705607977,0.0,0.9321976481209912,0.005253324287880699,0.002085453375012057,0.9987443265952389,0.005247773163765795,0.0,0.9759783353144957,0.0013539919789653102,0.00053665749674332,0.9997006509346278,0.0013537704046286602,0.0,0.9932765089022899,8.709918228489226e-05,3.4550845674295334e-05,0.9999790550760168,8.709768473650367e-05,0.0,0.9995203553680305,0.04840620044709197,0.15772656760845533,0.08659465309726039,3.3355171768624468,1.8019279158660892,1.7975048862267469,0.0,0.7355375931171955,1.0,24.380404794912742,0.016581238950820896,0.08225880002471739,0.052034577268163865,5.541845377396051,3.186207403581033,3.0830062533413085,1.0,0.48775496483437797,2.0000082907396584,9.448881234806263,0.00507341797368274,0.03774302593200291,0.03186362514257466,7.387258681145847,6.553365465650105,5.652412883526464,1.0,0.2927676331602388,3.0,3.80186849302531,0.00151507453082888,0.0185256655012891,0.018907567574592193,12.706726356098763,11.939560735264852,9.301632621154038,1.0,0.1531601650268583,4.0,1.1924234194664676,1.5,3.5,0.0,0.0,1.0,439375.0,0.0,-1.0
llama33-70b,131072,73,23,120604.0,1.3486043458359247,1.348096732181522,1.9896761790596276,1.9456248018587932,0.24720723145342546,0.004527991396970394,79088.0,0.6557268541386725,10.625704671414887,0.6664263852222516,0.34624211605858635,0.7842219235479712,0.578142609443357,0.0,0.39522105128233487,0.1885677727854685,0.09767810729329852,0.9357234030379792,0.18073603428706314,0.0,0.6638407860315798,0.05270343220587721,0.02741795675463166,0.9804355654398765,0.052024328249926505,0.0,0.844006840504234,0.01427746879310492,0.0074263332046487305,0.9944487531209085,0.014225850434184202,0.0,0.9407532339352951,0.0037322178844979214,0.0019433905877122904,0.9986939565981697,0.0037299242221766763,0.0,0.9809449842089644,0.0009589067702479711,0.0005011194585922797,0.999682840588811,0.0009587928243090067,0.0,0.9943408911569447,6.183273270927108e-05,3.223317851669893e-05,0.9999839139241146,6.183269623170155e-05,0.0,0.999592926832898,0.1055112974161735,0.08368177288707893,0.2538803481584151,0.7505118672746016,2.408083169577621,0.7505118672746016,0.0,0.6641226169455612,1.0,18.196505285031463,0.030671689424405343,0.02967421524907806,0.14477333488565153,0.9242690155510117,4.628284769864101,0.9242690155510117,0.0,0.3996584058109224,2.000004145352645,15.986967931110943,0.008640149388183655,0.012168563798562789,0.08726208514895106,1.3863778093419228,10.129021034514398,1.3863778093419228,0.0,0.21245588077805816,3.0,9.46022959909552,0.0017338048619467117,0.004603341782873402,0.05036733869971252,2.819498704532612,27.756637724976137,2.819498704532612,1.0,0.10210954802611158,4.000008290739658,3.8579954998201478,1.5,3.5,0.0,0.0,1.0,439375.0,0.0,-1.0
llama33-70b,131072,73,24,120604.0,1.1832111812409687,1.182772196184541,1.6780874182232737,1.707012903500718,0.13907542042900103,0.0008699686852444747,74646.0,0.6190065595524343,10.295986324505423,0.6594631600925589,0.45530104019931417,0.8571743380482639,0.6300338205492502,0.0,0.42579203095357165,0.19850158803045823,0.13818092222653416,0.9639679512609003,0.19695857918121293,0.0,0.6675988342795403,0.05748945856782941,0.04029369210028799,0.990004403002362,0.05736610696793816,0.0,0.8406436969049915,0.015675321548361633,0.010946880721437076,0.9969621403083799,0.015665292377289468,0.0,0.9455122648219181,0.004105205536440618,0.002865159684972218,0.9992239996648506,0.0041043388926071435,0.0,0.9838411581991447,0.0010579118302473625,0.000733016652200897,0.999744540469876,0.0010578460837669047,0.0,0.9952541936319981,6.78203785114943e-05,4.784178352325828e-05,0.9999980313070413,6.782017047780365e-05,0.0,0.9996837677865618,0.10958761415080981,0.24976477602366853,0.3147675939192965,2.1971364780922658,2.7723205430033095,2.1971364780922658,1.0,0.6789776944703215,1.0000041453526451,3.3217063852310247,0.032783054694095655,0.115239489981173,0.18181487705246552,3.6837525764322536,5.557514835790296,3.6837525764322536,1.0,0.4130733870760639,2.0,2.0904733664751505,0.004590788001349048,0.033176232786109705,0.11338160092963281,6.782920263476041,24.417162352639636,6.782920263476041,1.0,0.197614370566299,3.000008290980243,0.9519023736784186,0.003063703685686093,0.00961742724899973,0.07057359174257749,3.298387870202665,22.890138999346558,3.298387870202665,1.0,0.06459266133670998,4.0,2.0150716981282955,1.5,3.5,0.0,0.0,1.0,439375.0,0.0,-1.0
llama33-70b,131072,73,25,120604.0,1.8263574637820543,1.8259383939629108,2.565659146607999,2.634876855888914,0.13811426760257928,0.0010249959322555422,38995.5,0.323329647288522,8.9166670592769,0.7832219021137468,0.23546489308967672,0.8026567585477276,0.6429797487465789,0.0,0.5477746389252006,0.22826893669005097,0.06805002290404585,0.9239257247272243,0.2108210778234897,0.0,0.7154650439233508,0.06468164887518876,0.01921243459516147,0.974432495737256,0.06274348004099621,0.0,0.8790661936215858,0.017352377627073107,0.005156230527703214,0.9930435454206854,0.01715944629261476,0.0,0.9641581487297937,0.0045028822152010425,0.0013421094677803455,0.9984093339240996,0.004491136129034982,0.0,0.9887375576843127,0.0011507434700878964,0.0003441771364827398,0.9996002245549853,0.0011499398359614012,0.0,0.9970756013017446,7.386949272916818e-05,2.2003729710718444e-05,0.9999841519943723,7.386795553761059e-05,0.0,0.9997869853789285,0.08184276464938735,0.4801296564437912,0.2749593458507039,6.154810827204919,3.3653283275938835,3.3653283275938835,1.0,0.6871777461847937,1.0,2.064987328016599,0.02076218827141433,0.17057834630718893,0.13917393971077907,8.338555644967848,6.3166671759985356,6.3166671759985356,1.0,0.4825023155554787,2.000008291530202,2.109156594303637,0.006701491200276738,0.04329826523978478,0.06862852338740108,6.590338078169736,9.97104113920204,6.590338078169736,1.0,0.33942951055162573,3.000004145352645,2.5734835153633675,0.0011654391562508858,0.01088510153469857,0.03176096604299576,8.842190140167443,24.510460345028395,8.842190140167443,1.0,0.22019597033611676,4.0,1.2081539071440357,1.5,3.5,0.0,0.0,1.0,439375.0,0.0,-1.0
llama33-70b,131072,73,26,120604.0,2.023164813072754,2.022938026661685,2.8308319949276783,2.9188098427211093,0.16682618160921586,0.0004522280105163504,58842.5,0.48793488440453037,10.478082334268077,1.2244997272865779,0.30447681395256443,0.7179495706094434,0.8715115368197037,1.0,0.5366135762830306,0.33134772062785856,0.08498088519325461,0.893735885127207,0.2802697945792493,0.0,0.6751055793079601,0.09150290350188578,0.0229018882313663,0.9666260266202351,0.08567680383955613,0.0,0.8730479928540313,0.024185867888376837,0.006066601813250199,0.9912408332404277,0.023800276367939653,0.0,0.9557881086631628,0.006245201032602857,0.001562461212309789,0.9979128438317489,0.006213818102511044,0.0,0.9870792178330793,0.0015893482602154867,0.00040033960515278844,0.9994738056899086,0.0015873096450841706,0.0,0.9964504016331706,0.00010170466047475928,2.570309678607717e-05,0.999970020967197,0.00010170202695671283,0.0,0.9997494128740252,0.07358877244428902,0.10652239566381161,0.19925496222377617,1.481177294408228,2.8821211247844514,1.481177294408228,0.0,0.7231748916861294,1.0,5.35421773169163,0.02078533092040323,0.03975669605383944,0.0882062003969515,2.0930526037895913,4.3643890197853,2.0930526037895913,0.5,0.5144374553275148,2.0,4.758383045950052,0.007300957935106801,0.008872795333604425,0.04345843247001262,1.3115228907215872,6.113269617075883,1.3115228907215872,0.0,0.36507470947538695,3.000008291530202,8.08206884191626,0.002343410378526436,0.0033614410731478217,0.021304111094602743,1.3414587264462627,8.627596014158952,1.3414587264462627,0.0,0.2577638770946493,4.0,6.672187545484743,1.5,3.5,0.0,0.0,1.0,439375.0,0.0,-1.0
