scope,budget,label,reference,cell,error_ratio,error_ratio_ci90,routed_gain,routed_gain_retention,routed_gain_retention_ci90,band,band_delta,band_delta_ci90,mean_bits,evict_frac,tier0_frac,tier1_frac,tier2_frac,tier3_frac,tier4_frac,tier5_frac,tier6_frac,tier8_frac,median_cell_error_ratio,worst_cell_error_ratio,worst_cell_band_delta,pass
cell,2,full,full,llama31-8b@131072,1.0,"(1.0, 1.0)",2.057478456946738,1.0,"(1.0, 1.0)",0.4739040798611111,0.0,"(0.0, 0.0)",1.999994562239477,0.6512589527634735,0.6512589527634735,0.0005156533656045287,0.002472827895735955,0.022139161799769033,0.07686016106769028,0.06993166602790675,0.07177791168288057,0.10504366539693939,,,,
cell,2,full,full,llama31-8b@32768,1.0,"(1.0, 1.0)",2.294942671108788,1.0,"(1.0, 1.0)",0.5987413194444444,0.0,"(0.0, 0.0)",1.9999797118285392,0.6207298579033738,0.6207298579033738,0.0010064084146471735,0.0036081289897192783,0.045198707819020995,0.097931571997742,0.08035425276909079,0.07335260335513981,0.07781846875126622,,,,
cell,2,full,full,qwen3-30b-a3b-2507@8192,1.0,"(1.0, 1.0)",1.7019561166210888,1.0,"(1.0, 1.0)",0.32666015625,0.0,"(0.0, 0.0)",1.999879867354255,0.631596264684794,0.631596264684794,1.7235673708013896e-07,0.001852949828102881,0.039799411229386135,0.07744930413840016,0.08625414805213906,0.08433719642233375,0.07871055328810693,,,,
cell,2,full,full,qwen3-8b@8192,1.0,"(1.0, 1.0)",2.0606154754670163,1.0,"(1.0, 1.0)",0.4755497685185186,0.0,"(0.0, 0.0)",1.999898985813482,0.6408398721889662,0.6408398721889662,0.0,0.0008531306839630736,0.03291499773662854,0.07952849968705009,0.07785022404926142,0.07601179649594146,0.09200147915818924,,,,
macro,2,full,full,macro,1.0,"(1.0, 1.0)",,1.0,"(1.0, 1.0)",,0.0,"(0.0, 0.0)",,,,,,,,,,,1.0,1.0,0.0,
cell,2,no1,full,llama31-8b@131072,1.0084618579290827,"(1.0067838182920834, 1.01021579002967)",2.0534566559621643,0.9980452767459147,"(0.9976521819670456, 0.9984356046996947)",0.4732530381944444,-0.0006510416666666666,"(-0.0008138020833333611, -0.00048828124999997224)",1.9999945568413031,0.6514943077479659,0.6514943077479659,,0.00277077290737413,0.0221350160022028,0.07685463513699327,0.06992773255851448,0.07177476274809719,0.10504277289885221,,,,
cell,2,no1,full,llama31-8b@32768,1.0013644004499869,"(0.9995149273003356, 1.003074957899473)",2.2972078620633973,1.0009870359652668,"(1.0006668305408932, 1.0013070889768767)",0.5990125868055555,0.0002712673611110957,"(-5.425347222220064e-05, 0.0005425347222221913)",1.9999796039127336,0.6211785358512998,0.6211785358512998,,0.004217292129409641,0.045180146300450495,0.09791419035864653,0.08034507992561118,0.07334781189336928,0.07781694354121313,,,,
cell,2,no1,full,qwen3-30b-a3b-2507@8192,1.0000004673265745,"(1.0, 1.000001401980379)",1.701956012786105,0.9999999389907984,"(0.9999998779816005, 1.0)",0.32666015625,0.0,"(0.0, 0.0)",1.999879924806501,0.6315963795892854,0.6315963795892854,,0.001852949828102881,0.039799468681631825,0.07744930413840016,0.08625409059989336,0.08433725387457945,0.07871055328810693,,,,
cell,2,no1,full,qwen3-8b@8192,1.0,"(1.0, 1.0)",2.0606154754670163,1.0,"(1.0, 1.0)",0.4755497685185186,0.0,"(0.0, 0.0)",1.999898985813482,0.6408398721889662,0.6408398721889662,,0.0008531306839630736,0.03291499773662854,0.07952849968705009,0.07785022404926142,0.07601179649594146,0.09200147915818924,,,,
macro,2,no1,full,macro,1.0024505464248166,"(1.0018323933270394, 1.0030619768335165)",,0.999757492394098,"(0.9996302996494272, 0.9998872323758086)",,-9.494357638889274e-05,"(-0.00018988715277777393, -1.3563368055557093e-05)",,,,,,,,,,,1.0006824338882807,1.0084618579290827,-0.0006510416666666666,
cell,2,base3_dense,full,llama31-8b@131072,1.0460541496886546,"(1.0407971275706702, 1.0509104040902189)",2.042049566177195,0.9925010681315036,"(0.9918251675928047, 0.9930963151083552)",0.4713541666666666,-0.0025499131944444566,"(-0.0029296875000000278, -0.0020616319444444566)",1.9999944812668682,0.6522929225938137,0.6522929225938137,,,0.024271690611334704,0.07680269930576317,0.06987799558345882,0.07172945047626002,0.10502524142936966,,,,
cell,2,base3_dense,full,llama31-8b@32768,1.062495257381861,"(1.0532487575424736, 1.0722250136092002)",2.2749935289385994,0.9913073461828351,"(0.9908094012665987, 0.9918274711949854)",0.5946180555555556,-0.0041232638888888855,"(-0.004882812499999972, -0.0034179687500000186)",1.9999791146944146,0.6224419205767296,0.6224419205767296,,,0.048356086877345945,0.09781004441181454,0.08028133046202468,0.07331045863584291,0.07780015903624221,,,,
cell,2,base3_dense,full,qwen3-30b-a3b-2507@8192,1.001257641349429,"(1.0012200125432549, 1.001295271569805)",1.6984918878067676,0.9979645604369644,"(0.997767954354504, 0.998126038957338)",0.32552083333333337,-0.0011393229166666574,"(-0.0016276041666666574, -0.0006510416666666297)",1.9998765351240049,0.6321852651076425,0.6321852651076425,,,0.041098119243284985,0.0774385605684555,0.08624828792307834,0.08432582087768646,0.07870394627985218,,,,
cell,2,base3_dense,full,qwen3-8b@8192,1.0035950897680461,"(1.0030721675026897, 1.0040921224271377)",2.0592051030199774,0.9993155576749617,"(0.9992572996301697, 0.9993724779135332)",0.47521219135802467,-0.00033757716049383674,"(-0.0005304783950617434, -0.00019290123456790673)",1.9998964068365257,0.6411126053856802,0.6411126053856802,,,0.03351002644957911,0.07952349493968973,0.07784644495431585,0.07600965160421559,0.09199777666651959,,,,
macro,2,base3_dense,full,macro,1.0280077400318781,"(1.0253811161736817, 1.0306590102543862)",,0.9952662307502794,"(0.995047907197681, 0.9954704205304171)",,-0.0020375192901234593,"(-0.0022801528742283986, -0.0018084490740740676)",,,,,,,,,,,1.0248246197283504,1.062495257381861,-0.0041232638888888855,
