job,task,model,ctx,status,parquet_sha256
986344,0,qwen3-1.7b,2048,PASS,e3635045bbd4531481f45d42de5c8b2138957948a1ec55cb98613037351f0efc
986344,1,qwen15-moe-a2.7b,8192,PASS,22557e16db2ac56257d04687359933a4a41412ea6789c1607978dfbaaccfa515
