run,model,ctx,heads,retrieved,prompts,synthetic,band_or,band_pr,band_pp,band_sym,lag_med,lag_p90,routed_pr,routed_pp,over,dead2
job929735,mistral-7b,32768,1024,6,6,False,40.8203125,60.05859375,45.703125,44.921875,1.1810328986451557,1.8783568193446627,2.465846068497369,1.8375557259592195,14.35546875,18.5546875
job929911,llama31-8b,131072,1024,6,6,False,13.0859375,24.70703125,12.5,12.40234375,1.0250499285216406,1.4440379851549234,1.5016977151473319,1.28702660498278,12.20703125,56.201171875
job929912,llama31-8b,131072,1024,6,6,False,13.18359375,24.31640625,12.5,12.40234375,1.022887944017436,1.4400000705973,1.498806618027427,1.2863046684216408,11.9140625,56.201171875
job929913,qwen3-30b-a3b-2507,131072,1536,4,4,False,4.036458333333334,14.453125,4.752604166666666,4.361979166666666,1.009105057952759,1.3941563391311624,1.2780163411353884,1.1475533493138363,9.700520833333332,73.20963541666666
job929940,qwen3-30b-a3b-2507,131072,1536,4,4,False,4.231770833333334,14.453125,4.622395833333334,4.427083333333334,1.0087805568283423,1.3882596373117186,1.2781179223162278,1.1478682267823497,9.830729166666668,73.17708333333334
job929941,qwen3-30b-a3b-2507,131072,1536,4,4,False,4.231770833333334,14.2578125,4.752604166666666,4.361979166666666,1.0087293208389645,1.385132474873894,1.2768165176543105,1.1476630445498353,9.5703125,73.20963541666666
job929944,mistral-7b,32768,1024,6,6,False,41.40625,60.15625,44.82421875,44.140625,1.1745650190668726,1.8876336488921894,2.462209444569118,1.8362664795141788,15.33203125,18.5546875
job929944,qwen15-moe-a2.7b,32768,384,6,6,False,22.395833333333336,37.23958333333333,20.833333333333336,20.833333333333336,1.040730756983968,1.9291663402876364,1.8489595810751978,1.4377696431849354,16.40625,37.76041666666667
job929945,mistral-7b,32768,1024,6,6,False,40.91796875,60.3515625,45.01953125,44.43359375,1.18047924539406,1.8729508333463676,2.461695714191587,1.8355008621545545,15.33203125,18.65234375
job929945,qwen15-moe-a2.7b,32768,384,6,6,False,22.395833333333336,37.23958333333333,20.833333333333336,20.833333333333336,1.041715656672844,1.9392233661686227,1.851081653258031,1.438177536957212,16.40625,37.890625
