treatment,run,model,ctx,heads,retrieved,prompts,band_or,band_pr,dead2,tau,price,evict_frac,band_pp,band_sym,lag_med,lag_p90,lag_inband,lag_outband,rho_lag_gain,router_over,evict_frac_pp,invalid_band_pp,invalid_band_sym,invalid_lag_med,invalid_lag_p90,invalid_lag_inband,invalid_lag_outband,invalid_rho_lag_gain,invalid_router_over,invalid_evict_frac_pp
floor,job21421774,qwen3-30b-a3b-2507,131072,1536,4,4,4.6875,19.3359375,73.47005208333334,2.832087823928908,1.0599056319410676,0.5379186479214645,7.486979166666667,6.705729166666667,1.0130628617827189,1.4738796877198377,1.4785796917392935,1.0037897426218365,0.9505366672035501,11.848958333333332,0.5313266505971904,,,,,,,,,
zero,job21400319,llama31-8b,8192,1024,6,6,44.43359375,68.26171875,18.75,2.0794762243095657,1.4744194104259567,0.465500985810154,,,,,,,,,,3.3203125,3.125,10.966416347850458,36.231032252063805,9.752756289109442,13.994932941582222,-0.16561900972748728,64.94140625,0.4528807114320245
zero,job21400319,mistral-7b,8192,1024,6,6,53.80859375,76.07421875,10.400390625,2.000312391275633,1.4645531424808838,0.450481456827525,,,,,,,,,,11.5234375,11.328125,5.970087548399282,23.499994892739046,5.804384837048973,6.511442506977602,0.01243515753522638,64.55078125,0.43621404186474766
zero,job21400319,qwen15-moe-a2.7b,8192,384,6,6,31.25,55.729166666666664,25.651041666666668,2.416265267433359,1.3972254105127615,0.48834964403239967,,,,,,,,,,5.989583333333334,5.989583333333334,5.6267827465477716,26.805602223574034,5.372276586192537,5.8873080328533,0.0855178274727883,49.73958333333333,0.4750249196537899
zero,job21400319,qwen3-8b,8192,1152,6,6,11.197916666666668,38.45486111111111,50.47743055555556,2.6114122329490503,1.3492184571088428,0.5089050708325917,,,,,,,,,,1.9965277777777777,1.7361111111111112,5.537018093522921,21.580089072296282,6.389936632157871,5.081601261436356,0.15794877388316256,36.45833333333333,0.49484892832098537
zero,job21400320,qwen3-30b-a3b-2507,8192,1536,4,4,10.481770833333332,35.546875,61.946614583333336,2.1696669580271983,1.2895325932342185,0.5084041530319202,,,,,,,,,,2.018229166666667,1.8880208333333333,6.299955444705072,35.1688312248581,5.37769926793583,6.953373399445071,-0.058799175839604624,33.52864583333333,0.49945432228251263
zero,job21400321,llama31-8b,32768,1024,6,6,26.85546875,46.875,26.66015625,2.410137291604787,1.3189570915561102,0.49123504655863737,,,,,,,,,,2.24609375,2.1484375,11.303828838235535,35.093784485872675,9.135010653563874,14.011516697282985,-0.1917651634360918,44.7265625,0.48197606626746214
zero,job21400321,mistral-7b,32768,1024,6,6,45.8984375,66.2109375,20.3125,2.2114856537630434,1.421684168473988,0.4765680170663219,,,,,,,,,,8.7890625,8.7890625,6.210306280040764,25.5918994695617,5.493627821431599,7.403701024920719,-0.07470761658679635,57.421875,0.4657037363544349
zero,job21400321,qwen15-moe-a2.7b,32768,384,6,6,22.135416666666664,36.71875,36.97916666666667,3.0935342989214343,1.1959328988873876,0.5245414436061766,,,,,,,,,,4.427083333333334,3.90625,5.672067166376774,26.495025174040176,5.606201451461162,5.672478782643886,-0.006647155064256892,32.29166666666667,0.5123815362485189
zero,job21400321,qwen3-8b,32768,1152,6,6,6.597222222222222,26.73611111111111,59.895833333333336,3.079825897046395,1.1243211405554883,0.529736286300452,,,,,,,,,,1.128472222222222,0.9548611111111112,6.160784912770293,25.036723010755022,6.585199027404922,5.849513628757077,0.1350489170144794,25.60763888888889,0.518079174477638
zero,job21400322,qwen3-30b-a3b-2507,32768,1536,4,4,6.705729166666667,24.869791666666664,67.80598958333334,2.387448971820371,1.1843737223354112,0.5225192622108759,,,,,,,,,,1.171875,1.1067708333333335,6.792898274192131,39.71458510235426,5.546252552950623,7.239480769420966,-0.031492441995384216,23.697916666666664,0.5139519718958141
zero,job21400323,llama31-8b,131072,1024,6,6,13.671875,29.00390625,52.880859375,2.9470828135665013,1.1354503025973002,0.5246492246734444,,,,,,,,,,2.05078125,1.953125,12.845897486780189,37.96272156584596,9.170803549486047,15.148224832969625,-0.19429756231671552,26.953125,0.5173972244880644
zero,job21400323,mistral-7b,32768,1024,6,6,45.41015625,66.50390625,20.361328125,2.211973564417143,1.4119918444732218,0.4764407191331225,,,,,,,,,,8.7890625,8.7890625,6.14654462357575,25.056363943611313,5.464409282297105,7.754422923691358,-0.0730287644839425,57.71484375,0.4658365514964813
zero,job21400323,qwen15-moe-a2.7b,32768,384,6,6,22.135416666666664,36.97916666666667,36.58854166666667,3.093593712258504,1.185111601664735,0.5244999911205721,,,,,,,,,,4.427083333333334,3.90625,5.672067166376774,27.244011873718648,5.7756979832199695,5.576380878104171,0.0032452697433115185,32.55208333333333,0.5125738920373153
zero,job21400323,qwen3-8b,40960,1152,6,6,6.25,25.60763888888889,62.54340277777778,3.3447424464613955,1.1109781783667194,0.5381126148714772,,,,,,,,,,1.0416666666666665,0.6944444444444444,6.193659586760653,25.50355360739662,6.253534503779245,6.144537340286149,0.15060305071774135,24.56597222222222,0.5250226821164101
zero,job21406448,llama33-70b,8192,5120,4,4,83.515625,93.02734375,5.56640625,1.521159457894631,1.3072250471733167,0.39729505101867146,,,,,,,,,,12.98828125,12.871093750000002,7.872568495821152,24.231275887491684,8.074658340869151,4.808788634806979,0.08447557855036081,80.0390625,0.38777687246564496
zero,job21406448,qwen3-30b-a3b-2507,8192,1536,4,4,10.611979166666668,34.765625,61.979166666666664,2.1643875688168945,1.2874231268541725,0.5083972588031082,,,,,,,,,,1.953125,1.8229166666666667,6.220263187374737,35.157437277036934,5.309414684728312,7.1915206821153905,-0.05100132203158146,32.8125,0.49900740743336286
zero,job21406449,llama33-70b,32768,5120,4,4,61.26953125,75.72265625,9.62890625,1.9390722574869879,1.2554718190646514,0.451223851709853,,,,,,,,,,7.59765625,7.558593750000001,11.81619555217432,33.33991746434782,11.269628128660791,13.583253841606432,-0.15868748006582184,68.125,0.44172951029337976
zero,job21406449,qwen3-30b-a3b-2507,32768,1536,4,4,6.705729166666667,24.869791666666664,67.70833333333334,2.38653237646446,1.1719226625682002,0.5224461028192372,,,,,,,,,,1.171875,1.1067708333333335,6.871317122904997,39.33822463861382,5.497564510653312,7.2669639859229935,-0.03291359283175694,23.697916666666664,0.5140067630287759
zero,job21406450,llama33-70b,131072,5120,4,4,18.8671875,25.136718749999996,41.40625,3.31397770215493,1.0300923448920112,0.5440073342145734,,,,,,,,,,5.8984375,5.859375,4.8759133899840315,26.034702171458633,3.8990226061720685,5.367570162289189,0.11013530132094577,19.23828125,0.5421233945009518
zero,job21406450,qwen3-30b-a3b-2507,131072,1536,4,4,4.6875,18.880208333333336,73.47005208333334,2.8264183154717806,1.0573920224586584,0.5371654967925366,,,,,,,,,,1.4322916666666665,1.1067708333333335,5.7206234492930506,34.63026062902094,4.349671710853025,5.905179348150711,-0.012760783676903482,17.447916666666664,0.5312799760334609
zero,job21406673,llama31-8b,8192,1024,0,0,42.08984375,59.08203125,33.251953125,2.1692162593219675,1.4829332965018698,0.48269476197725514,,,,,,,,,,8.0078125,8.0078125,7.328992725339161,28.65561491631343,5.400597550116091,10.589706176022897,-0.2842457062263071,51.07421875,0.4669111567093815
bump,job929735,mistral-7b,32768,1024,6,6,42.48046875,60.05859375,20.703125,2.2423207564825933,1.3994429902498466,0.4785504906092424,,,,,,,,,,45.703125,44.921875,1.1810328986451557,1.8783568193446627,1.3595993173934473,1.026931599487078,0.8063944035655531,14.35546875,0.4647860448736124
bump,job929911,llama31-8b,131072,1024,6,6,12.79296875,24.70703125,55.37109375,3.015982697118356,1.1400764756879829,0.52762818972017,,,,,,,,,,12.5,12.40234375,1.0250499285216406,1.4440379851549234,1.3674909240675492,1.0071983070961101,0.9085596859130247,12.20703125,0.5194915043411199
bump,job929912,llama31-8b,131072,1024,6,6,13.28125,24.31640625,55.322265625,3.0160392867532106,1.1455241378769543,0.5277015370712808,,,,,,,,,,12.5,12.40234375,1.022887944017436,1.4400000705973,1.3859729138973873,1.0070483510172292,0.9092186270653028,11.9140625,0.5194614551320094
bump,job929913,qwen3-30b-a3b-2507,131072,1536,4,4,5.013020833333334,14.453125,73.60026041666666,2.8771761904867637,1.0363967373302145,0.5391954070635052,,,,,,,,,,4.752604166666666,4.361979166666666,1.009105057952759,1.3941563391311624,1.4560876524037099,1.0032736093370402,0.9360515965839371,9.700520833333332,0.5329671266551901
bump,job929940,qwen3-30b-a3b-2507,131072,1536,4,4,4.8828125,14.453125,73.60026041666666,2.873020839097184,1.0358973396240942,0.5392161333112253,,,,,,,,,,4.622395833333334,4.427083333333334,1.0087805568283423,1.3882596373117186,1.4590865919493528,1.003673901890087,0.9406931480060781,9.830729166666668,0.5329185949900153
bump,job929941,qwen3-30b-a3b-2507,131072,1536,4,4,4.947916666666666,14.2578125,73.56770833333334,2.878530260016914,1.0357447728666256,0.5391954070635052,,,,,,,,,,4.752604166666666,4.361979166666666,1.0087293208389645,1.385132474873894,1.4570221505972931,1.0036011037808041,0.9343312899086379,9.5703125,0.5329475579934774
bump,job929944,mistral-7b,32768,1024,6,6,42.28515625,60.15625,20.703125,2.242418268523669,1.3924123158122659,0.4785170233185221,,,,,,,,,,44.82421875,44.140625,1.1745650190668726,1.8876336488921894,1.359128929850978,1.0288952554155864,0.8085038176811387,15.33203125,0.4647114369749874
bump,job929944,qwen15-moe-a2.7b,32768,384,6,6,21.354166666666664,37.23958333333333,35.546875,3.0659391466016803,1.2025696377152801,0.5236125540422003,,,,,,,,,,20.833333333333336,20.833333333333336,1.040730756983968,1.9291663402876364,1.5790230731967931,1.002963673342692,0.8768183513614323,16.40625,0.5147887543234984
bump,job929945,mistral-7b,32768,1024,6,6,42.3828125,60.3515625,20.654296875,2.2428684635249745,1.4020311530055332,0.4784924782774781,,,,,,,,,,45.01953125,44.43359375,1.18047924539406,1.8729508333463676,1.358650355086235,1.0267998821818283,0.8086529486445889,15.33203125,0.46480261982554505
bump,job929945,qwen15-moe-a2.7b,32768,384,6,6,21.614583333333336,37.23958333333333,35.546875,3.067685490602224,1.194685834533583,0.5235959779912787,,,,,,,,,,20.833333333333336,20.833333333333336,1.041715656672844,1.9392233661686227,1.5754289382853917,1.002754320937752,0.8778637974297243,16.40625,0.5147947126740715
