job_id,array_task,model,scope,prompt_idx,family,policy,heldout_rows,heldout_mean_squared_relative_output_error,heldout_ratio_to_fixed_mean,q1_implementation_budget,q1_g1_max_abs,q1_g1_unit_max_abs,q1_g1_averaged_max_abs,q1_g1_kstar_match,q2_calibration_stability,q2_llama_p0_p1_spearman,q3_nontrivial_redistribution,q3_llama_prop_movement_fraction,q4_resolution,q4_llama_kstar_eq_k0_fraction,decision
985183,0,llama31-8b,model,,,fixed,1536,0.014295756511136522,1.0,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,model,,,kstar_prop_calibrated,1536,0.014468220587453244,1.0120640048802154,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,model,,,kstar_shrink20_calibrated,1536,0.014428440489813505,1.0092813541258638,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,model,,,kappa4_rebalanced_calibrated,1536,0.023207740510538307,1.6234006568634034,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,model,,,kappa4_natural_calibrated,1536,0.029770908053187068,2.082499658552191,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,model,,,adakv_alpha02_calibrated,1536,0.014721799315084572,1.0298020467553541,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,model,,,layer_flat_calibrated,1536,0.016788438810043892,1.1743651899055183,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,model,,,snapkv_global_calibrated,1536,0.023568425567172948,1.6486308751000993,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,model,,,kappa4_rebalanced_dynamic,1536,0.02548106519138747,1.7824215998319146,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,model,,,kappa4_natural_dynamic,1536,0.03315761485602514,2.3194026024572443,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,model,,,adakv_alpha02_dynamic,1536,0.014491023632556362,1.013659096758379,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,model,,,layer_flat_dynamic,1536,0.01626381010567995,1.1376669778203272,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,model,,,snapkv_global_dynamic,1536,0.021160826426635793,1.4802173225426245,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,prompt_family,2,niah,fixed,256,0.015725035205065626,1.0,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,prompt_family,2,niah,kstar_prop_calibrated,256,0.015910622742385718,1.011802042723587,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,prompt_family,2,niah,kstar_shrink20_calibrated,256,0.01587169756851138,1.0093266794975766,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,prompt_family,2,niah,kappa4_rebalanced_calibrated,256,0.02529169263940026,1.6083711298307843,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,prompt_family,2,niah,kappa4_natural_calibrated,256,0.03231663600551027,2.055107386665809,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,prompt_family,2,niah,adakv_alpha02_calibrated,256,0.016494715800424338,1.0489461921910845,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,prompt_family,2,niah,layer_flat_calibrated,256,0.01844966891954904,1.1732672568901916,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,prompt_family,2,niah,snapkv_global_calibrated,256,0.025869060223838693,1.6450875871810637,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,prompt_family,2,niah,kappa4_rebalanced_dynamic,256,0.025404834534147838,1.61556614677492,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,prompt_family,2,niah,kappa4_natural_dynamic,256,0.03295971321552462,2.0960025071935644,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,prompt_family,2,niah,adakv_alpha02_dynamic,256,0.017168224927552145,1.091776565436344,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,prompt_family,2,niah,layer_flat_dynamic,256,0.01952014807870557,1.2413420907583976,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,prompt_family,2,niah,snapkv_global_dynamic,256,0.022965745926899428,1.4604575205975563,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
985183,0,llama31-8b,prompt_family,2,qa,fixed,256,0.012160270084840155,1.0,True,1.9539925233402755e-14,1.9539925233402755e-14,7.105427357601002e-15,True,True,0.7517335459476959,False,0.0023189767898005886,True,0.0,stop_r9_qualification
