model,ctx,task,B,arm,score,head_err_mean
llama31-8b,32768,niah_multikey,3,laprox,0.7,0.20057662503013374
llama31-8b,32768,niah_multikey,3,obck_ada,0.7,0.19424700446641197
llama31-8b,32768,niah_multikey,3,router_calib,1.0,0.07693257610217022
llama31-8b,32768,niah_multikey,3,uniform,1.0,0.18725462460840625
llama31-8b,32768,niah_multivalue,2,adakv,0.2,0.3367694651232979
llama31-8b,32768,niah_multivalue,2,dropkv,0.0625,0.3562908929280571
llama31-8b,32768,niah_multivalue,2,evict,0.125,0.33610969244953665
llama31-8b,32768,niah_multivalue,2,interior_cascade,0.1625,0.17854054849697343
llama31-8b,32768,niah_multivalue,2,laprox,0.2625,0.3455265074750583
llama31-8b,32768,niah_multivalue,2,obck_ada,0.35,0.33236470720773836
llama31-8b,32768,niah_multivalue,2,router_calib,0.225,0.16853441009794257
llama31-8b,32768,niah_multivalue,2,uniform,0.975,0.6518734101407428
llama31-8b,32768,niah_multivalue,3,adakv,0.5625,0.22427019198842052
llama31-8b,32768,niah_multivalue,3,dropkv,0.225,0.2532573067852479
llama31-8b,32768,niah_multivalue,3,evict,0.425,0.2319286889731378
llama31-8b,32768,niah_multivalue,3,interior_cascade,0.4,0.10090407204168361
llama31-8b,32768,niah_multivalue,3,laprox,0.6125,0.2303449279290693
llama31-8b,32768,niah_multivalue,3,obck_ada,0.7,0.2250833965864863
llama31-8b,32768,niah_multivalue,3,router_calib,0.9,0.08626378390963257
llama31-8b,32768,niah_multivalue,3,uniform,1.0,0.17798138576831
llama31-8b,32768,niah_single,2,adakv,0.65,0.3013774130714287
llama31-8b,32768,niah_single,2,dropkv,0.35,0.32870297838809
llama31-8b,32768,niah_single,2,evict,0.6,0.30084159473469946
llama31-8b,32768,niah_single,2,interior_cascade,0.55,0.15024889429965832
llama31-8b,32768,niah_single,2,laprox,0.75,0.3153258408629561
llama31-8b,32768,niah_single,2,obck_ada,0.85,0.30042704652728447
llama31-8b,32768,niah_single,2,router_calib,0.6,0.14648854328867683
llama31-8b,32768,niah_single,2,uniform,1.0,0.6558114838641398
llama31-8b,32768,niah_single,3,adakv,0.95,0.19714030482075923
llama31-8b,32768,niah_single,3,dropkv,0.6,0.2274750083512374
llama31-8b,32768,niah_single,3,evict,0.7,0.20090549020130116
llama31-8b,32768,niah_single,3,interior_cascade,0.65,0.08421916743309617
llama31-8b,32768,niah_single,3,laprox,0.95,0.2074937708094
llama31-8b,32768,niah_single,3,obck_ada,0.9,0.19591854514826984
llama31-8b,32768,niah_single,3,router_calib,1.0,0.07868220075285584
llama31-8b,32768,niah_single,3,uniform,1.0,0.18428206517984624
llama31-8b,32768,vt,2,adakv,0.45999999999999996,0.30496118760623714
llama31-8b,32768,vt,2,dropkv,0.37,0.3241584781573391
llama31-8b,32768,vt,2,evict,0.28,0.3077808543731409
llama31-8b,32768,vt,2,interior_cascade,0.45999999999999996,0.16030075396139026
llama31-8b,32768,vt,2,laprox,0.47000000000000003,0.3126458130438921
llama31-8b,32768,vt,2,obck_ada,0.6900000000000001,0.3033592444932695
llama31-8b,32768,vt,2,router_calib,0.63,0.15556224276877623
llama31-8b,32768,vt,2,uniform,0.99,0.6236959618483449
llama31-8b,32768,vt,3,adakv,0.82,0.20209747240575981
llama31-8b,32768,vt,3,dropkv,0.55,0.22747097832219637
llama31-8b,32768,vt,3,evict,0.65,0.20963317864269698
llama31-8b,32768,vt,3,interior_cascade,0.64,0.09074366738578946
llama31-8b,32768,vt,3,laprox,0.8699999999999999,0.20702037108472657
llama31-8b,32768,vt,3,obck_ada,0.86,0.20302391644064813
llama31-8b,32768,vt,3,router_calib,1.0,0.08040480002535062
llama31-8b,32768,vt,3,uniform,1.0,0.16863726082010488
llama31-8b,131072,niah_multikey,2,adakv,0.5,0.1894026310955768
llama31-8b,131072,niah_multikey,2,dropkv,0.4,0.2041699426453459
llama31-8b,131072,niah_multikey,2,evict,0.3,0.19508459205969403
llama31-8b,131072,niah_multikey,2,interior_cascade,0.35,0.10740875467785169
llama31-8b,131072,niah_multikey,2,laprox,0.6,0.19586516976638052
llama31-8b,131072,niah_multikey,2,obck_ada,0.65,0.18945194946429647
llama31-8b,131072,niah_multikey,2,router_calib,0.4,0.10491728310723492
llama31-8b,131072,niah_multikey,2,uniform,1.0,0.7119174465413209
llama31-8b,131072,niah_multikey,3,adakv,0.8,0.11011389789258152
llama31-8b,131072,niah_multikey,3,dropkv,0.5,0.12744452313840432
